date,route,origin,destination,vessel_type,freight_rate,unit,source,source_date,source_url
2026-06-12,IDN-KRI,Banjarmasin,Krishnapatnam,Panamax,12.05,$/tonne,Shipping Tribune - India-Related Freight Rates Report,2026-06-12,https://www.shippingtribune.com/news/shipping/Freight%2BMarket%2BScenario%2B
2026-06-12,IDN-PAR,East Kalimantan,Paradip,Supramax,17.8,$/tonne,Shipping Tribune - India-Related Freight Rates Report,2026-06-12,https://www.shippingtribune.com/news/shipping/Freight%2BMarket%2BScenario%2B
2026-06-12,ZAF-PAR,Richards Bay,Paradip,Panamax,20.6,$/tonne,Shipping Tribune - India-Related Freight Rates Report,2026-06-12,https://www.shippingtribune.com/news/shipping/Freight%2BMarket%2BScenario%2B
2026-06-15,AUS-PAR,Hay Point,Paradip,Panamax,22.45,$/tonne,Shipping Tribune - India-Related Freight Rates Report (published Jun 16),2026-06-16,https://www.shippingtribune.com/news/shipping/Freight%2BMarket%2BScenario
2026-06-15,IDN-KRI,Banjarmasin,Krishnapatnam,Panamax,11.35,$/tonne,Shipping Tribune - India-Related Freight Rates Report (published Jun 16),2026-06-16,https://www.shippingtribune.com/news/shipping/Freight%2BMarket%2BScenario
2026-06-15,IDN-PAR,East Kalimantan,Paradip,Supramax,17.05,$/tonne,Shipping Tribune - India-Related Freight Rates Report (published Jun 16),2026-06-16,https://www.shippingtribune.com/news/shipping/Freight%2BMarket%2BScenario
2026-06-15,ZAF-PAR,Richards Bay,Paradip,Panamax,19.85,$/tonne,Shipping Tribune - India-Related Freight Rates Report (published Jun 16),2026-06-16,https://www.shippingtribune.com/news/shipping/Freight%2BMarket%2BScenario
2026-08-12,AUS-PAR,Hay Point,Paradip,Panamax,21.1,$/tonne,Shipping Tribune - India-Related Freight Rates Report,2026-08-12,https://www.shippingtribune.com/news/shipping/Freight%2BMarket%2BScenario
2026-08-12,IDN-KRI,Banjarmasin,Krishnapatnam,Panamax,11.8,$/tonne,Shipping Tribune - India-Related Freight Rates Report,2026-08-12,https://www.shippingtribune.com/news/shipping/Freight%2BMarket%2BScenario
2026-08-12,IDN-PAR,East Kalimantan,Paradip,Supramax,16.05,$/tonne,Shipping Tribune - India-Related Freight Rates Report,2026-08-12,https://www.shippingtribune.com/news/shipping/Freight%2BMarket%2BScenario
2026-08-12,ZAF-PAR,Richards Bay,Paradip,Panamax,18.6,$/tonne,Shipping Tribune - India-Related Freight Rates Report,2026-08-12,https://www.shippingtribune.com/news/shipping/Freight%2BMarket%2BScenario
2026-09-03,AUS-PAR,Hay Point,Paradip,Panamax,17.05,$/tonne,Shipping Tribune - India-Related Freight Rates Report,2026-09-03,https://www.shippingtribune.com/news/shipping/Freight%2BMarekt%2BScenario
2026-09-03,IDN-KRI,Banjarmasin,Krishnapatnam,Panamax,8.55,$/tonne,Shipping Tribune - India-Related Freight Rates Report,2026-09-03,https://www.shippingtribune.com/news/shipping/Freight%2BMarekt%2BScenario
2026-09-03,IDN-PAR,East Kalimantan,Paradip,Supramax,14.15,$/tonne,Shipping Tribune - India-Related Freight Rates Report,2026-09-03,https://www.shippingtribune.com/news/shipping/Freight%2BMarekt%2BScenario
2026-09-03,ZAF-PAR,Richards Bay,Paradip,Panamax,15.95,$/tonne,Shipping Tribune - India-Related Freight Rates Report,2026-09-03,https://www.shippingtribune.com/news/shipping/Freight%2BMarekt%2BScenario
2026-09-07,AUS-PAR,Hay Point,Paradip,Panamax,23.0,$/tonne,Shipping Tribune - India-Related Freight Rates Report,2026-09-07,https://www.shippingtribune.com/news/shipping/Market%2BScenario
2026-09-07,IDN-KRI,Banjarmasin,Krishnapatnam,Panamax,12.35,$/tonne,Shipping Tribune - India-Related Freight Rates Report,2026-09-07,https://www.shippingtribune.com/news/shipping/Market%2BScenario
2026-09-07,IDN-PAR,East Kalimantan,Paradip,Supramax,16.85,$/tonne,Shipping Tribune - India-Related Freight Rates Report,2026-09-07,https://www.shippingtribune.com/news/shipping/Market%2BScenario
2026-09-07,ZAF-PAR,Richards Bay,Paradip,Panamax,20.3,$/tonne,Shipping Tribune - India-Related Freight Rates Report,2026-09-07,https://www.shippingtribune.com/news/shipping/Market%2BScenario
